,year,age_group,sex,value
553,1956,70 - 74 years,Male,45.2
554,1956,70 - 74 years,Female,47.8
555,1956,75 - 79 years,Both sexes,65.9
556,1956,75 - 79 years,Male,32.3
557,1956,75 - 79 years,Female,33.6
558,1956,80 - 84 years,Both sexes,32.6
559,1956,80 - 84 years,Male,15.2
560,1956,80 - 84 years,Female,17.4
561,1956,85 years and over,Both sexes,16.2
562,1956,85 years and over,Male,7.2
563,1956,85 years and over,Female,9.0
564,1956,All ages,Both sexes,2898.5
565,1956,All ages,Male,1463.1
566,1956,All ages,Female,1435.4
567,1957,Under 1 year,Both sexes,59.5
568,1957,Under 1 year,Male,30.3
569,1957,Under 1 year,Female,29.2
570,1957,0 - 4 years,Both sexes,299.0
571,1957,0 - 4 years,Male,152.0
572,1957,0 - 4 years,Female,147.0
573,1957,0 - 14 years,Both sexes,873.1
574,1957,0 - 14 years,Male,445.1
575,1957,0 - 14 years,Female,428.0
576,1957,1 - 4 years,Both sexes,239.5
577,1957,1 - 4 years,Male,121.7
578,1957,1 - 4 years,Female,117.8
579,1957,5 - 9 years,Both sexes,294.7
580,1957,5 - 9 years,Male,150.9
581,1957,5 - 9 years,Female,143.8
582,1957,10 - 14 years,Both sexes,279.4
583,1957,10 - 14 years,Male,142.2
584,1957,10 - 14 years,Female,137.2
585,1957,15 - 19 years,Both sexes,232.7
586,1957,15 - 19 years,Male,120.9
587,1957,15 - 19 years,Female,111.8
588,1957,15 - 24 years,Both sexes,407.7
589,1957,15 - 24 years,Male,210.4
590,1957,15 - 24 years,Female,197.3
591,1957,15 years and over,Both sexes,2012.2
592,1957,15 years and over,Male,1011.0
593,1957,15 years and over,Female,1001.2
594,1957,20 - 24 years,Both sexes,175.0
595,1957,20 - 24 years,Male,89.5
596,1957,20 - 24 years,Female,85.5
597,1957,25 - 29 years,Both sexes,164.9
598,1957,25 - 29 years,Male,81.7
599,1957,25 - 29 years,Female,83.2
600,1957,25 - 44 years,Both sexes,696.7
601,1957,25 - 44 years,Male,345.9
602,1957,25 - 44 years,Female,350.8
603,1957,30 - 34 years,Both sexes,170.8
604,1957,30 - 34 years,Male,84.2
605,1957,30 - 34 years,Female,86.6
606,1957,35 - 39 years,Both sexes,179.0
607,1957,35 - 39 years,Male,87.7
608,1957,35 - 39 years,Female,91.3
609,1957,40 - 44 years,Both sexes,182.0
610,1957,40 - 44 years,Male,92.3
611,1957,40 - 44 years,Female,89.7
612,1957,45 - 49 years,Both sexes,173.0
613,1957,45 - 49 years,Male,88.9
614,1957,45 - 49 years,Female,84.1
615,1957,45 - 64 years,Both sexes,591.2
616,1957,45 - 64 years,Male,300.5
617,1957,45 - 64 years,Female,290.7
618,1957,50 - 54 years,Both sexes,149.4
619,1957,50 - 54 years,Male,77.1
620,1957,50 - 54 years,Female,72.3
621,1957,55 - 59 years,Both sexes,148.8
622,1957,55 - 59 years,Male,75.2
623,1957,55 - 59 years,Female,73.6
624,1957,60 - 64 years,Both sexes,120.0
