year,sex,0 - 4 years,5 - 9 years,10 - 14 years,15 - 19 years,20 - 24 years,25 - 29 years,30 - 34 years,35 - 39 years,40 - 44 years,45 - 49 years,50 - 54 years,55 - 59 years,60 - 64 years,65 - 69 years,70 - 74 years,75 - 79 years,80 - 84 years,85 years and over
1996,Male,128.7,145.3,167.4,174.0,149.1,129.4,127.7,126.1,120.1,113.8,94.8,77.8,68.7,60.3,50.1,35.2,21.1,10.6
1997,Both sexes,250.0,277.9,318.0,343.7,297.2,264.4,265.1,260.7,247.4,228.2,198.3,156.1,140.9,126.7,112.8,85.0,55.8,35.8
1997,Female,121.3,135.7,154.5,167.6,145.9,132.5,135.2,132.0,124.0,113.4,97.6,76.9,70.8,65.9,62.6,49.4,34.9,24.9
1997,Male,128.7,142.2,163.5,176.2,151.3,132.0,129.9,128.7,123.3,114.8,100.8,79.2,70.2,60.9,50.2,35.6,20.9,11.0
1998,Both sexes,253.6,273.8,308.3,343.7,299.1,272.4,267.9,267.1,251.3,232.8,207.9,162.4,142.3,128.2,111.7,88.3,54.6,37.4
1998,Female,122.9,133.6,150.1,168.0,146.7,135.8,136.1,135.3,126.3,116.1,102.1,80.3,71.5,66.0,62.0,51.6,34.2,26.0
1998,Male,130.8,140.3,158.3,175.7,152.3,136.6,131.8,131.9,125.1,116.7,105.8,82.2,70.9,62.2,49.8,36.8,20.5,11.4
1999,Both sexes,259.8,270.6,300.2,338.5,303.9,279.7,271.9,273.5,255.7,234.7,217.5,168.2,145.5,128.8,111.1,89.1,54.6,38.3
1999,Female,125.8,131.9,146.2,164.7,150.3,139.3,138.0,138.3,128.2,117.1,107.1,83.0,73.0,65.9,61.4,52.1,34.2,26.8
1999,Male,134.0,138.7,154.1,173.8,153.6,140.5,133.9,135.2,127.5,117.6,110.4,85.2,72.5,63.0,49.7,37.0,20.4,11.5
2000,Both sexes,266.2,266.7,295.1,329.4,311.9,289.4,277.5,280.2,260.5,239.1,225.0,174.3,149.7,129.3,111.3,88.9,55.8,39.4
2000,Female,128.9,130.1,143.8,160.5,154.5,143.3,140.0,142.0,130.8,119.3,110.8,86.1,74.9,66.0,61.1,52.0,34.8,27.6
2000,Male,137.2,136.6,151.3,168.9,157.4,146.0,137.5,138.2,129.7,119.8,114.1,88.2,74.8,63.3,50.3,36.9,21.0,11.8
2001,Both sexes,273.2,263.7,290.6,320.4,317.6,300.8,288.6,285.1,267.6,243.9,228.2,185.8,151.7,130.8,111.8,89.2,57.6,40.4
2001,Female,133.0,128.2,141.6,156.2,157.1,149.7,144.4,143.9,134.6,121.5,112.7,91.8,75.8,66.8,60.8,52.1,35.9,28.2
2001,Male,140.4,135.5,149.0,164.3,160.5,151.2,144.2,141.2,133.0,122.4,115.5,94.0,75.9,64.0,51.1,37.1,21.7,12.2
2002,Both sexes,277.6,264.1,285.7,313.2,328.3,312.7,304.7,290.9,272.0,249.6,230.8,197.3,154.3,133.5,112.1,89.8,58.9,41.7
2002,Female,135.6,128.2,139.6,152.8,163.0,156.6,152.3,146.4,136.7,124.6,114.3,97.5,76.7,68.2,60.4,52.4,36.6,29.2
2002,Male,142.0,135.9,146.1,160.4,165.3,156.1,152.4,144.5,135.3,125.0,116.6,99.8,77.6,65.3,51.7,37.4,22.3,12.5
2003,Both sexes,284.3,268.7,281.7,304.7,334.0,317.4,316.1,296.4,279.2,253.7,235.1,206.6,160.3,135.0,113.8,89.5,61.7,41.9
2003,Female,138.9,130.9,137.3,148.8,167.0,158.8,157.9,149.0,140.3,126.8,116.6,101.6,79.6,69.0,60.6,52.3,38.3,29.3
2003,Male,145.4,137.8,144.4,155.9,167.0,158.6,158.2,147.4,138.9,126.9,118.5,104.9,80.7,66.0,53.2,37.3,23.4,12.6
2004,Both sexes,290.7,274.9,278.2,298.4,336.1,325.4,325.1,303.5,286.0,259.2,238.1,213.9,166.0,137.5,115.7,90.0,63.1,43.4
2004,Female,142.0,133.8,135.4,145.7,167.9,162.5,163.4,151.1,143.5,129.6,118.0,105.4,82.2,70.2,61.1,52.2,39.2,30.2
2004,Male,148.7,141.2,142.8,152.7,168.2,162.9,161.8,152.4,142.5,129.7,120.1,108.5,83.8,67.3,54.6,37.8,23.9,13.2
2005,Both sexes,296.5,280.6,276.3,292.8,339.5,345.2,335.8,312.1,294.1,265.4,243.1,221.4,172.1,140.8,117.4,91.0,64.0,45.7
2005,Female,144.9,136.3,134.4,143.0,169.5,171.1,167.0,154.4,147.1,132.6,120.2,109.4,85.4,71.7,61.7,52.2,39.7,31.7
2005,Male,151.7,144.3,142.0,149.8,170.0,174.1,168.7,157.8,147.1,132.9,122.9,112.0,86.7,69.1,55.7,38.8,24.3,14.0
2006,Both sexes,302.3,288.5,274.2,290.9,347.5,375.2,347.9,320.4,299.8,273.8,246.4,223.9,179.8,141.2,117.5,91.4,64.4,47.8
